,model_version_id,covariate_id,covariate_name_short,location_id,location_name,year_id,age_group_id,age_group_name,sex_id,sex,mean_value,lower_value,upper_value
111,34911,13,ASFR,180,Kenya,2019,10,25 to 29,2,Female,0.14615559958823202,0.13161002587207402,0.163384678236655
112,34911,13,ASFR,180,Kenya,2019,11,30 to 34,2,Female,0.12848538266547,0.113272944483464,0.146717357688668
113,34911,13,ASFR,180,Kenya,2019,12,35 to 39,2,Female,0.0748372999108811,0.0606686222985833,0.0927285824494981
114,34911,13,ASFR,180,Kenya,2019,13,40 to 44,2,Female,0.0223369261375199,0.0171892727121718,0.0293025077332832
115,34911,13,ASFR,180,Kenya,2019,14,45 to 49,2,Female,0.00446427993877473,0.00250563724975589,0.007767904239866379
116,34911,13,ASFR,180,Kenya,2019,15,50 to 54,2,Female,0.00015137029058601598,0.000146089871012627,0.000156513076156558
117,34911,13,ASFR,181,Madagascar,2019,7,10 to 14,2,Female,0.00213592980134099,0.000945182782290499,0.00447002902876566
118,34911,13,ASFR,181,Madagascar,2019,8,15 to 19,2,Female,0.107785269097606,0.0940643178666062,0.122881882447816
119,34911,13,ASFR,181,Madagascar,2019,9,20 to 24,2,Female,0.20268944222542498,0.177900668142824,0.22844475469075
120,34911,13,ASFR,181,Madagascar,2019,10,25 to 29,2,Female,0.18000205049849202,0.164497561472594,0.19647601463655398
121,34911,13,ASFR,181,Madagascar,2019,11,30 to 34,2,Female,0.15178104173444001,0.13536703380841303,0.16947496182100302
122,34911,13,ASFR,181,Madagascar,2019,12,35 to 39,2,Female,0.103665317481106,0.0864585383757498,0.12261085578324499
123,34911,13,ASFR,181,Madagascar,2019,13,40 to 44,2,Female,0.0432558753473524,0.0345074486596152,0.0533527028926004
124,34911,13,ASFR,181,Madagascar,2019,14,45 to 49,2,Female,0.00711697125142386,0.00395440654237455,0.0117650969147557
125,34911,13,ASFR,181,Madagascar,2019,15,50 to 54,2,Female,0.000241315065630948,0.000232897001617342,0.00024951371301860096
126,34911,13,ASFR,184,Mozambique,2019,7,10 to 14,2,Female,0.00248856815168058,0.00109446287422789,0.00522803505193421
127,34911,13,ASFR,184,Mozambique,2019,8,15 to 19,2,Female,0.135856606958849,0.12296484490064001,0.150836070131238
128,34911,13,ASFR,184,Mozambique,2019,9,20 to 24,2,Female,0.226657266731412,0.20689551144427198,0.246110339391436
129,34911,13,ASFR,184,Mozambique,2019,10,25 to 29,2,Female,0.21120267375564603,0.19776561125681602,0.224712919691603
130,34911,13,ASFR,184,Mozambique,2019,11,30 to 34,2,Female,0.177242098840034,0.16286269633846803,0.191873730990841
131,34911,13,ASFR,184,Mozambique,2019,12,35 to 39,2,Female,0.12835228314415598,0.11290953629974698,0.144083693344021
132,34911,13,ASFR,184,Mozambique,2019,13,40 to 44,2,Female,0.0684103461495595,0.0595606886360381,0.0774737684855811
133,34911,13,ASFR,184,Mozambique,2019,14,45 to 49,2,Female,0.0275220897393321,0.0212126720032642,0.033750571690351006
134,34911,13,ASFR,184,Mozambique,2019,15,50 to 54,2,Female,0.0009331911928714109,0.0009006376381317381,0.000964896240028791
135,34911,13,ASFR,189,United Republic of Tanzania,2019,7,10 to 14,2,Female,0.00219883324173233,0.0009724074337424689,0.00460347550798415
136,34911,13,ASFR,189,United Republic of Tanzania,2019,8,15 to 19,2,Female,0.11036055203518501,0.09626205016304,0.127257099748558
137,34911,13,ASFR,189,United Republic of Tanzania,2019,9,20 to 24,2,Female,0.21725656130757198,0.192829058659907,0.24437954895705602
138,34911,13,ASFR,189,United Republic of Tanzania,2019,10,25 to 29,2,Female,0.21059974462340197,0.194864874514798,0.228417950453909
139,34911,13,ASFR,189,United Republic of Tanzania,2019,11,30 to 34,2,Female,0.183192465704594,0.16814674540263902,0.198439995672638
140,34911,13,ASFR,189,United Republic of Tanzania,2019,12,35 to 39,2,Female,0.133902589753315,0.118550749391816,0.14942524268098498
141,34911,13,ASFR,189,United Republic of Tanzania,2019,13,40 to 44,2,Female,0.0621988418028215,0.0541624182531062,0.0705474310581258
142,34911,13,ASFR,189,United Republic of Tanzania,2019,14,45 to 49,2,Female,0.0139608582667265,0.009985158904437741,0.0186033482989394
143,34911,13,ASFR,189,United Republic of Tanzania,2019,15,50 to 54,2,Female,0.00047337066708334004,0.00045685754732742304,0.0004894533727897861
144,34911,13,ASFR,190,Uganda,2019,7,10 to 14,2,Female,0.0021025873289568,0.000931704813711419,0.00439648584284291
145,34911,13,ASFR,190,Uganda,2019,8,15 to 19,2,Female,0.102369831074626,0.0909855227104798,0.116023021084349
146,34911,13,ASFR,190,Uganda,2019,9,20 to 24,2,Female,0.24681694115149805,0.22407910294204,0.27125502197038104
147,34911,13,ASFR,190,Uganda,2019,10,25 to 29,2,Female,0.2447762995847,0.23212694970806197,0.257264748538668
148,34911,13,ASFR,190,Uganda,2019,11,30 to 34,2,Female,0.19325862471152697,0.179961049095423,0.206656202201876
149,34911,13,ASFR,190,Uganda,2019,12,35 to 39,2,Female,0.13544080358606403,0.12177272193378301,0.14924361994353502
150,34911,13,ASFR,190,Uganda,2019,13,40 to 44,2,Female,0.0629627278008252,0.0555076637671809,0.0706573430851609
