location_name,nutrient,vehicle,coverage_level,measure,value,lower,upper
Kenya,Zinc,Wheat flour,0.8,pif,-1.9924942845840778,-3.849914349978259,-0.6421981564282359
Kenya,Zinc,Wheat flour,0.2,pif,-0.4981235711460195,-0.9624785874945623,-0.16054953910705871
Kenya,Zinc,Wheat flour,0.5,pif,-1.2453089278650489,-2.406196468736412,-0.40137384776764695
Myanmar,Folic acid,Wheat flour,0.5,counts_averted,335.36259657487034,116.54017739055848,706.1507008199409
Myanmar,Folic acid,Wheat flour,0.2,counts_averted,134.14503862994817,46.61607095622341,282.4602803279763
Myanmar,Folic acid,Wheat flour,0.8,counts_averted,536.5801545197927,186.46428382489364,1129.8411213119052
Myanmar,Folic acid,Wheat flour,0.2,rates_averted,2.672920002988567,0.9288530518325597,5.628189764223245
Myanmar,Folic acid,Wheat flour,0.5,rates_averted,6.682300007471417,2.3221326295813984,14.070474410558115
Myanmar,Folic acid,Wheat flour,0.8,rates_averted,10.691680011954269,3.7154122073302385,22.51275905689298
Myanmar,Folic acid,Wheat flour,0.8,pif,0.7551930139536752,0.3765553571972216,1.0479742011937765
Myanmar,Folic acid,Wheat flour,0.2,pif,0.18879825348841883,0.09413883929930544,0.2619935502984442
Myanmar,Folic acid,Wheat flour,0.5,pif,0.47199563372104697,0.23534709824826353,0.6549838757461104
Myanmar,Iron,Wheat flour,0.5,counts_averted,1254.131397075634,13.863514553879563,2652.5289647374816
Myanmar,Iron,Wheat flour,0.2,counts_averted,502.2590032900614,5.545466137705926,1062.942886333512
Myanmar,Iron,Wheat flour,0.8,counts_averted,2004.1857171242734,22.181382022462316,4236.325807016197
Myanmar,Iron,Wheat flour,0.8,rates_averted,17.337050294918452,0.19864042063099163,37.21997136808888
Myanmar,Iron,Wheat flour,0.5,rates_averted,10.847364163503528,0.1241514126642143,23.302050774627077
Myanmar,Iron,Wheat flour,0.2,rates_averted,4.343629470877202,0.0496610249735336,9.336642745760862
Myanmar,Iron,Wheat flour,0.8,pif,1.4443445636392618,0.01664864337825053,3.4381383217935855
Myanmar,Iron,Wheat flour,0.2,pif,0.3619133756522201,0.004162261629402845,0.862577124409472
Myanmar,Iron,Wheat flour,0.5,pif,0.9037492232408083,0.010405528092283314,2.152638490553729
Myanmar,Vitamin A,Oil,0.5,counts_averted,175.47282226271986,-11.411480344030121,561.802820966611
Myanmar,Vitamin A,Oil,0.2,counts_averted,70.18912890508794,-4.564592137612048,224.72112838664444
