,Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
612,FBS,New Food Balances,233,Burkina Faso,664,Food supply (kcal/capita/day),2570,"Oilcrops, Other",2018,2018,kcal/capita/day,0.0,Fc,Calculated data
614,FBS,New Food Balances,233,Burkina Faso,664,Food supply (kcal/capita/day),2571,Soyabean Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
616,FBS,New Food Balances,233,Burkina Faso,664,Food supply (kcal/capita/day),2572,Groundnut Oil,2018,2018,kcal/capita/day,12.0,Fc,Calculated data
618,FBS,New Food Balances,233,Burkina Faso,664,Food supply (kcal/capita/day),2573,Sunflowerseed Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
620,FBS,New Food Balances,233,Burkina Faso,664,Food supply (kcal/capita/day),2574,Rape and Mustard Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
622,FBS,New Food Balances,233,Burkina Faso,664,Food supply (kcal/capita/day),2575,Cottonseed Oil,2018,2018,kcal/capita/day,78.0,Fc,Calculated data
624,FBS,New Food Balances,233,Burkina Faso,664,Food supply (kcal/capita/day),2576,Palmkernel Oil,2018,2018,kcal/capita/day,1.0,Fc,Calculated data
626,FBS,New Food Balances,233,Burkina Faso,664,Food supply (kcal/capita/day),2577,Palm Oil,2018,2018,kcal/capita/day,92.0,Fc,Calculated data
628,FBS,New Food Balances,233,Burkina Faso,664,Food supply (kcal/capita/day),2578,Coconut Oil,2018,2018,kcal/capita/day,5.0,Fc,Calculated data
630,FBS,New Food Balances,233,Burkina Faso,664,Food supply (kcal/capita/day),2579,Sesameseed Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
632,FBS,New Food Balances,233,Burkina Faso,664,Food supply (kcal/capita/day),2580,Olive Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
635,FBS,New Food Balances,233,Burkina Faso,664,Food supply (kcal/capita/day),2582,Maize Germ Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
637,FBS,New Food Balances,233,Burkina Faso,664,Food supply (kcal/capita/day),2586,"Oilcrops Oil, Other",2018,2018,kcal/capita/day,2.0,Fc,Calculated data
780,FBS,New Food Balances,32,Cameroon,664,Food supply (kcal/capita/day),2511,Wheat and products,2018,2018,kcal/capita/day,192.0,Fc,Calculated data
782,FBS,New Food Balances,32,Cameroon,664,Food supply (kcal/capita/day),2805,Rice and products,2018,2018,kcal/capita/day,277.0,Fc,Calculated data
786,FBS,New Food Balances,32,Cameroon,664,Food supply (kcal/capita/day),2514,Maize and products,2018,2018,kcal/capita/day,381.0,Fc,Calculated data
828,FBS,New Food Balances,32,Cameroon,664,Food supply (kcal/capita/day),2570,"Oilcrops, Other",2018,2018,kcal/capita/day,16.0,Fc,Calculated data
830,FBS,New Food Balances,32,Cameroon,664,Food supply (kcal/capita/day),2571,Soyabean Oil,2018,2018,kcal/capita/day,1.0,Fc,Calculated data
832,FBS,New Food Balances,32,Cameroon,664,Food supply (kcal/capita/day),2572,Groundnut Oil,2018,2018,kcal/capita/day,57.0,Fc,Calculated data
834,FBS,New Food Balances,32,Cameroon,664,Food supply (kcal/capita/day),2573,Sunflowerseed Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
836,FBS,New Food Balances,32,Cameroon,664,Food supply (kcal/capita/day),2574,Rape and Mustard Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
838,FBS,New Food Balances,32,Cameroon,664,Food supply (kcal/capita/day),2575,Cottonseed Oil,2018,2018,kcal/capita/day,22.0,Fc,Calculated data
840,FBS,New Food Balances,32,Cameroon,664,Food supply (kcal/capita/day),2576,Palmkernel Oil,2018,2018,kcal/capita/day,9.0,Fc,Calculated data
842,FBS,New Food Balances,32,Cameroon,664,Food supply (kcal/capita/day),2577,Palm Oil,2018,2018,kcal/capita/day,118.0,Fc,Calculated data
844,FBS,New Food Balances,32,Cameroon,664,Food supply (kcal/capita/day),2578,Coconut Oil,2018,2018,kcal/capita/day,1.0,Fc,Calculated data
846,FBS,New Food Balances,32,Cameroon,664,Food supply (kcal/capita/day),2579,Sesameseed Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
848,FBS,New Food Balances,32,Cameroon,664,Food supply (kcal/capita/day),2580,Olive Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
851,FBS,New Food Balances,32,Cameroon,664,Food supply (kcal/capita/day),2582,Maize Germ Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
853,FBS,New Food Balances,32,Cameroon,664,Food supply (kcal/capita/day),2586,"Oilcrops Oil, Other",2018,2018,kcal/capita/day,4.0,Fc,Calculated data
1161,FBS,New Food Balances,41,"China, mainland",664,Food supply (kcal/capita/day),2511,Wheat and products,2018,2018,kcal/capita/day,563.0,Fc,Calculated data
1163,FBS,New Food Balances,41,"China, mainland",664,Food supply (kcal/capita/day),2805,Rice and products,2018,2018,kcal/capita/day,821.0,Fc,Calculated data
1167,FBS,New Food Balances,41,"China, mainland",664,Food supply (kcal/capita/day),2514,Maize and products,2018,2018,kcal/capita/day,57.0,Fc,Calculated data
1205,FBS,New Food Balances,41,"China, mainland",664,Food supply (kcal/capita/day),2571,Soyabean Oil,2018,2018,kcal/capita/day,59.0,Fc,Calculated data
1207,FBS,New Food Balances,41,"China, mainland",664,Food supply (kcal/capita/day),2572,Groundnut Oil,2018,2018,kcal/capita/day,17.0,Fc,Calculated data
1209,FBS,New Food Balances,41,"China, mainland",664,Food supply (kcal/capita/day),2573,Sunflowerseed Oil,2018,2018,kcal/capita/day,4.0,Fc,Calculated data
1211,FBS,New Food Balances,41,"China, mainland",664,Food supply (kcal/capita/day),2574,Rape and Mustard Oil,2018,2018,kcal/capita/day,36.0,Fc,Calculated data
1213,FBS,New Food Balances,41,"China, mainland",664,Food supply (kcal/capita/day),2575,Cottonseed Oil,2018,2018,kcal/capita/day,13.0,Fc,Calculated data
1215,FBS,New Food Balances,41,"China, mainland",664,Food supply (kcal/capita/day),2576,Palmkernel Oil,2018,2018,kcal/capita/day,2.0,Fc,Calculated data
1217,FBS,New Food Balances,41,"China, mainland",664,Food supply (kcal/capita/day),2577,Palm Oil,2018,2018,kcal/capita/day,49.0,Fc,Calculated data
1219,FBS,New Food Balances,41,"China, mainland",664,Food supply (kcal/capita/day),2578,Coconut Oil,2018,2018,kcal/capita/day,2.0,Fc,Calculated data
1221,FBS,New Food Balances,41,"China, mainland",664,Food supply (kcal/capita/day),2579,Sesameseed Oil,2018,2018,kcal/capita/day,5.0,Fc,Calculated data
1223,FBS,New Food Balances,41,"China, mainland",664,Food supply (kcal/capita/day),2580,Olive Oil,2018,2018,kcal/capita/day,1.0,Fc,Calculated data
1225,FBS,New Food Balances,41,"China, mainland",664,Food supply (kcal/capita/day),2581,Ricebran Oil,2018,2018,kcal/capita/day,2.0,Fc,Calculated data
1227,FBS,New Food Balances,41,"China, mainland",664,Food supply (kcal/capita/day),2582,Maize Germ Oil,2018,2018,kcal/capita/day,5.0,Fc,Calculated data
1229,FBS,New Food Balances,41,"China, mainland",664,Food supply (kcal/capita/day),2586,"Oilcrops Oil, Other",2018,2018,kcal/capita/day,2.0,Fc,Calculated data
1378,FBS,New Food Balances,107,Côte d'Ivoire,664,Food supply (kcal/capita/day),2511,Wheat and products,2018,2018,kcal/capita/day,181.0,Fc,Calculated data
1380,FBS,New Food Balances,107,Côte d'Ivoire,664,Food supply (kcal/capita/day),2805,Rice and products,2018,2018,kcal/capita/day,601.0,Fc,Calculated data
1384,FBS,New Food Balances,107,Côte d'Ivoire,664,Food supply (kcal/capita/day),2514,Maize and products,2018,2018,kcal/capita/day,232.0,Fc,Calculated data
1426,FBS,New Food Balances,107,Côte d'Ivoire,664,Food supply (kcal/capita/day),2570,"Oilcrops, Other",2018,2018,kcal/capita/day,0.0,Fc,Calculated data
1428,FBS,New Food Balances,107,Côte d'Ivoire,664,Food supply (kcal/capita/day),2571,Soyabean Oil,2018,2018,kcal/capita/day,1.0,Fc,Calculated data
1430,FBS,New Food Balances,107,Côte d'Ivoire,664,Food supply (kcal/capita/day),2572,Groundnut Oil,2018,2018,kcal/capita/day,15.0,Fc,Calculated data
1432,FBS,New Food Balances,107,Côte d'Ivoire,664,Food supply (kcal/capita/day),2573,Sunflowerseed Oil,2018,2018,kcal/capita/day,3.0,Fc,Calculated data
1434,FBS,New Food Balances,107,Côte d'Ivoire,664,Food supply (kcal/capita/day),2574,Rape and Mustard Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
1436,FBS,New Food Balances,107,Côte d'Ivoire,664,Food supply (kcal/capita/day),2575,Cottonseed Oil,2018,2018,kcal/capita/day,22.0,Fc,Calculated data
1438,FBS,New Food Balances,107,Côte d'Ivoire,664,Food supply (kcal/capita/day),2576,Palmkernel Oil,2018,2018,kcal/capita/day,24.0,Fc,Calculated data
1440,FBS,New Food Balances,107,Côte d'Ivoire,664,Food supply (kcal/capita/day),2577,Palm Oil,2018,2018,kcal/capita/day,273.0,Fc,Calculated data
1442,FBS,New Food Balances,107,Côte d'Ivoire,664,Food supply (kcal/capita/day),2578,Coconut Oil,2018,2018,kcal/capita/day,10.0,Fc,Calculated data
1444,FBS,New Food Balances,107,Côte d'Ivoire,664,Food supply (kcal/capita/day),2579,Sesameseed Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
1446,FBS,New Food Balances,107,Côte d'Ivoire,664,Food supply (kcal/capita/day),2580,Olive Oil,2018,2018,kcal/capita/day,1.0,Fc,Calculated data
1449,FBS,New Food Balances,107,Côte d'Ivoire,664,Food supply (kcal/capita/day),2582,Maize Germ Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
1451,FBS,New Food Balances,107,Côte d'Ivoire,664,Food supply (kcal/capita/day),2586,"Oilcrops Oil, Other",2018,2018,kcal/capita/day,11.0,Fc,Calculated data
1642,FBS,New Food Balances,59,Egypt,664,Food supply (kcal/capita/day),2511,Wheat and products,2018,2018,kcal/capita/day,1158.0,Fc,Calculated data
1644,FBS,New Food Balances,59,Egypt,664,Food supply (kcal/capita/day),2805,Rice and products,2018,2018,kcal/capita/day,322.0,Fc,Calculated data
1648,FBS,New Food Balances,59,Egypt,664,Food supply (kcal/capita/day),2514,Maize and products,2018,2018,kcal/capita/day,572.0,Fc,Calculated data
1686,FBS,New Food Balances,59,Egypt,664,Food supply (kcal/capita/day),2570,"Oilcrops, Other",2018,2018,kcal/capita/day,0.0,Fc,Calculated data
1688,FBS,New Food Balances,59,Egypt,664,Food supply (kcal/capita/day),2571,Soyabean Oil,2018,2018,kcal/capita/day,85.0,Fc,Calculated data
1690,FBS,New Food Balances,59,Egypt,664,Food supply (kcal/capita/day),2572,Groundnut Oil,2018,2018,kcal/capita/day,3.0,Fc,Calculated data
1692,FBS,New Food Balances,59,Egypt,664,Food supply (kcal/capita/day),2573,Sunflowerseed Oil,2018,2018,kcal/capita/day,37.0,Fc,Calculated data
1694,FBS,New Food Balances,59,Egypt,664,Food supply (kcal/capita/day),2575,Cottonseed Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
1696,FBS,New Food Balances,59,Egypt,664,Food supply (kcal/capita/day),2576,Palmkernel Oil,2018,2018,kcal/capita/day,3.0,Fc,Calculated data
1698,FBS,New Food Balances,59,Egypt,664,Food supply (kcal/capita/day),2577,Palm Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
1700,FBS,New Food Balances,59,Egypt,664,Food supply (kcal/capita/day),2578,Coconut Oil,2018,2018,kcal/capita/day,1.0,Fc,Calculated data
1702,FBS,New Food Balances,59,Egypt,664,Food supply (kcal/capita/day),2580,Olive Oil,2018,2018,kcal/capita/day,6.0,Fc,Calculated data
1704,FBS,New Food Balances,59,Egypt,664,Food supply (kcal/capita/day),2582,Maize Germ Oil,2018,2018,kcal/capita/day,7.0,Fc,Calculated data
1706,FBS,New Food Balances,59,Egypt,664,Food supply (kcal/capita/day),2586,"Oilcrops Oil, Other",2018,2018,kcal/capita/day,10.0,Fc,Calculated data
1780,FBS,New Food Balances,238,Ethiopia,664,Food supply (kcal/capita/day),2511,Wheat and products,2018,2018,kcal/capita/day,333.0,Fc,Calculated data
1782,FBS,New Food Balances,238,Ethiopia,664,Food supply (kcal/capita/day),2805,Rice and products,2018,2018,kcal/capita/day,33.0,Fc,Calculated data
1786,FBS,New Food Balances,238,Ethiopia,664,Food supply (kcal/capita/day),2514,Maize and products,2018,2018,kcal/capita/day,437.0,Fc,Calculated data
1828,FBS,New Food Balances,238,Ethiopia,664,Food supply (kcal/capita/day),2570,"Oilcrops, Other",2018,2018,kcal/capita/day,0.0,Fc,Calculated data
1830,FBS,New Food Balances,238,Ethiopia,664,Food supply (kcal/capita/day),2571,Soyabean Oil,2018,2018,kcal/capita/day,1.0,Fc,Calculated data
1832,FBS,New Food Balances,238,Ethiopia,664,Food supply (kcal/capita/day),2572,Groundnut Oil,2018,2018,kcal/capita/day,1.0,Fc,Calculated data
1834,FBS,New Food Balances,238,Ethiopia,664,Food supply (kcal/capita/day),2573,Sunflowerseed Oil,2018,2018,kcal/capita/day,3.0,Fc,Calculated data
1836,FBS,New Food Balances,238,Ethiopia,664,Food supply (kcal/capita/day),2574,Rape and Mustard Oil,2018,2018,kcal/capita/day,4.0,Fc,Calculated data
1838,FBS,New Food Balances,238,Ethiopia,664,Food supply (kcal/capita/day),2575,Cottonseed Oil,2018,2018,kcal/capita/day,1.0,Fc,Calculated data
1840,FBS,New Food Balances,238,Ethiopia,664,Food supply (kcal/capita/day),2576,Palmkernel Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
1842,FBS,New Food Balances,238,Ethiopia,664,Food supply (kcal/capita/day),2577,Palm Oil,2018,2018,kcal/capita/day,56.0,Fc,Calculated data
1844,FBS,New Food Balances,238,Ethiopia,664,Food supply (kcal/capita/day),2578,Coconut Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
1846,FBS,New Food Balances,238,Ethiopia,664,Food supply (kcal/capita/day),2579,Sesameseed Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
1848,FBS,New Food Balances,238,Ethiopia,664,Food supply (kcal/capita/day),2580,Olive Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
1851,FBS,New Food Balances,238,Ethiopia,664,Food supply (kcal/capita/day),2582,Maize Germ Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
1853,FBS,New Food Balances,238,Ethiopia,664,Food supply (kcal/capita/day),2586,"Oilcrops Oil, Other",2018,2018,kcal/capita/day,13.0,Fc,Calculated data
2063,FBS,New Food Balances,81,Ghana,664,Food supply (kcal/capita/day),2511,Wheat and products,2018,2018,kcal/capita/day,152.0,Fc,Calculated data
2065,FBS,New Food Balances,81,Ghana,664,Food supply (kcal/capita/day),2805,Rice and products,2018,2018,kcal/capita/day,284.0,Fc,Calculated data
2069,FBS,New Food Balances,81,Ghana,664,Food supply (kcal/capita/day),2514,Maize and products,2018,2018,kcal/capita/day,194.0,Fc,Calculated data
2109,FBS,New Food Balances,81,Ghana,664,Food supply (kcal/capita/day),2570,"Oilcrops, Other",2018,2018,kcal/capita/day,6.0,Fc,Calculated data
2111,FBS,New Food Balances,81,Ghana,664,Food supply (kcal/capita/day),2571,Soyabean Oil,2018,2018,kcal/capita/day,3.0,Fc,Calculated data
2113,FBS,New Food Balances,81,Ghana,664,Food supply (kcal/capita/day),2572,Groundnut Oil,2018,2018,kcal/capita/day,54.0,Fc,Calculated data
2115,FBS,New Food Balances,81,Ghana,664,Food supply (kcal/capita/day),2573,Sunflowerseed Oil,2018,2018,kcal/capita/day,2.0,Fc,Calculated data
2117,FBS,New Food Balances,81,Ghana,664,Food supply (kcal/capita/day),2574,Rape and Mustard Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
2119,FBS,New Food Balances,81,Ghana,664,Food supply (kcal/capita/day),2575,Cottonseed Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
2121,FBS,New Food Balances,81,Ghana,664,Food supply (kcal/capita/day),2576,Palmkernel Oil,2018,2018,kcal/capita/day,14.0,Fc,Calculated data
2123,FBS,New Food Balances,81,Ghana,664,Food supply (kcal/capita/day),2577,Palm Oil,2018,2018,kcal/capita/day,50.0,Fc,Calculated data
2125,FBS,New Food Balances,81,Ghana,664,Food supply (kcal/capita/day),2578,Coconut Oil,2018,2018,kcal/capita/day,6.0,Fc,Calculated data
2127,FBS,New Food Balances,81,Ghana,664,Food supply (kcal/capita/day),2579,Sesameseed Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
2129,FBS,New Food Balances,81,Ghana,664,Food supply (kcal/capita/day),2580,Olive Oil,2018,2018,kcal/capita/day,1.0,Fc,Calculated data
2131,FBS,New Food Balances,81,Ghana,664,Food supply (kcal/capita/day),2582,Maize Germ Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
2133,FBS,New Food Balances,81,Ghana,664,Food supply (kcal/capita/day),2586,"Oilcrops Oil, Other",2018,2018,kcal/capita/day,19.0,Fc,Calculated data
2287,FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2511,Wheat and products,2018,2018,kcal/capita/day,527.0,Fc,Calculated data
2289,FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2805,Rice and products,2018,2018,kcal/capita/day,645.0,Fc,Calculated data
2293,FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2514,Maize and products,2018,2018,kcal/capita/day,63.0,Fc,Calculated data
2329,FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2570,"Oilcrops, Other",2018,2018,kcal/capita/day,0.0,Fc,Calculated data
2331,FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2571,Soyabean Oil,2018,2018,kcal/capita/day,53.0,Fc,Calculated data
2333,FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2572,Groundnut Oil,2018,2018,kcal/capita/day,25.0,Fc,Calculated data
2335,FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2573,Sunflowerseed Oil,2018,2018,kcal/capita/day,46.0,Fc,Calculated data
2337,FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2574,Rape and Mustard Oil,2018,2018,kcal/capita/day,48.0,Fc,Calculated data
2339,FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2575,Cottonseed Oil,2018,2018,kcal/capita/day,22.0,Fc,Calculated data
2341,FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2577,Palm Oil,2018,2018,kcal/capita/day,42.0,Fc,Calculated data
2343,FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2578,Coconut Oil,2018,2018,kcal/capita/day,5.0,Fc,Calculated data
2345,FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2579,Sesameseed Oil,2018,2018,kcal/capita/day,1.0,Fc,Calculated data
2347,FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2580,Olive Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
2349,FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2581,Ricebran Oil,2018,2018,kcal/capita/day,8.0,Fc,Calculated data
2351,FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2582,Maize Germ Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
2353,FBS,New Food Balances,100,India,664,Food supply (kcal/capita/day),2586,"Oilcrops Oil, Other",2018,2018,kcal/capita/day,2.0,Fc,Calculated data
2357,FBS,New Food Balances,101,Indonesia,664,Food supply (kcal/capita/day),2511,Wheat and products,2018,2018,kcal/capita/day,274.0,Fc,Calculated data
2359,FBS,New Food Balances,101,Indonesia,664,Food supply (kcal/capita/day),2805,Rice and products,2018,2018,kcal/capita/day,1286.0,Fc,Calculated data
2363,FBS,New Food Balances,101,Indonesia,664,Food supply (kcal/capita/day),2514,Maize and products,2018,2018,kcal/capita/day,184.0,Fc,Calculated data
2399,FBS,New Food Balances,101,Indonesia,664,Food supply (kcal/capita/day),2570,"Oilcrops, Other",2018,2018,kcal/capita/day,0.0,Fc,Calculated data
2401,FBS,New Food Balances,101,Indonesia,664,Food supply (kcal/capita/day),2571,Soyabean Oil,2018,2018,kcal/capita/day,45.0,Fc,Calculated data
2403,FBS,New Food Balances,101,Indonesia,664,Food supply (kcal/capita/day),2572,Groundnut Oil,2018,2018,kcal/capita/day,3.0,Fc,Calculated data
2405,FBS,New Food Balances,101,Indonesia,664,Food supply (kcal/capita/day),2573,Sunflowerseed Oil,2018,2018,kcal/capita/day,1.0,Fc,Calculated data
2407,FBS,New Food Balances,101,Indonesia,664,Food supply (kcal/capita/day),2574,Rape and Mustard Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
2409,FBS,New Food Balances,101,Indonesia,664,Food supply (kcal/capita/day),2575,Cottonseed Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
2411,FBS,New Food Balances,101,Indonesia,664,Food supply (kcal/capita/day),2576,Palmkernel Oil,2018,2018,kcal/capita/day,102.0,Fc,Calculated data
2413,FBS,New Food Balances,101,Indonesia,664,Food supply (kcal/capita/day),2577,Palm Oil,2018,2018,kcal/capita/day,139.0,Fc,Calculated data
2415,FBS,New Food Balances,101,Indonesia,664,Food supply (kcal/capita/day),2578,Coconut Oil,2018,2018,kcal/capita/day,4.0,Fc,Calculated data
2417,FBS,New Food Balances,101,Indonesia,664,Food supply (kcal/capita/day),2579,Sesameseed Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
2419,FBS,New Food Balances,101,Indonesia,664,Food supply (kcal/capita/day),2580,Olive Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
2421,FBS,New Food Balances,101,Indonesia,664,Food supply (kcal/capita/day),2581,Ricebran Oil,2018,2018,kcal/capita/day,0.0,Fc,Calculated data
2423,FBS,New Food Balances,101,Indonesia,664,Food supply (kcal/capita/day),2582,Maize Germ Oil,2018,2018,kcal/capita/day,1.0,Fc,Calculated data
2425,FBS,New Food Balances,101,Indonesia,664,Food supply (kcal/capita/day),2586,"Oilcrops Oil, Other",2018,2018,kcal/capita/day,2.0,Fc,Calculated data
