,location_name,location_id,stunting_prevalence,population_under_5,number_stunted,cumulative_number_stunted,cum_percent_global_stunted_pop
79,Congo,170,0.2130827867171438,695257.1146572485,148147.32347608727,173742538.32350373,0.9820970701862242
80,Kyrgyzstan,37,0.16122198486873282,752283.4231554536,121284.62666496707,173863822.9501687,0.9827826436655555
81,Romania,52,0.12357953149577093,940010.0636195991,116166.00326341989,173979988.9534321,0.9834392836143043
82,Azerbaijan,34,0.14908891406772978,759744.9240448072,113269.54569431016,174093258.49912643,0.9840795510470305
83,Mauritania,212,0.2116679415665733,531227.482330094,112443.82768840417,174205702.32681483,0.9847151510261656
84,Nicaragua,131,0.16748766808830065,659394.7587788305,110440.49049751383,174316142.81731233,0.9853394269415178
85,Jordan,144,0.09007629062878476,1200790.0367398718,108162.71233352982,174424305.52964586,0.9859508274880457
86,Dominican Republic,111,0.0920281924175533,1094472.69371717,100722.34365316162,174525027.87329903,0.9865201706066543
87,El Salvador,127,0.17076876507243735,570872.8040521521,97487.24376142552,174622515.11706045,0.9870712269996509
88,Tunisia,154,0.10270852191408011,868673.5691187686,89220.17831001723,174711735.29537046,0.9875755529785692
89,Timor-Leste,19,0.4907024924717135,175912.99161673096,86320.94344448551,174798056.23881495,0.9880634907425191
90,Guinea-Bissau,209,0.2933661928457739,287448.89844255324,84327.78897380336,174882384.02778876,0.9885401620015303
91,Lesotho,194,0.367161823667705,218409.24505907448,80191.53672177647,174962575.56451052,0.9889934526811077
92,Libya,147,0.18576684537139299,423954.47782372433,78756.68592638946,175041332.2504369,0.9894386327230952
93,Gambia,206,0.2134582815768743,329593.93512927537,70354.5550108549,175111686.80544776,0.9898363188799635
94,Turkmenistan,40,0.12645313256301063,550707.6865730805,69638.71209369466,175181325.51754144,0.9902299586631662
95,Botswana,193,0.29208568156525905,236508.76074292665,69080.82257775251,175250406.34011918,0.9906204449200974
96,Namibia,195,0.22795378537158953,296760.7959557227,67647.74678799289,175318054.08690718,0.9910028305728353
97,Mongolia,38,0.16224153467565766,394137.5572319054,63945.48215861919,175381999.5690658,0.9913642888045707
98,Panama,132,0.1575549084090017,386314.44539427955,60865.737061169995,175442865.30612698,0.9917083384692027
99,Lebanon,146,0.11479467324519965,507161.9652892666,58219.49208777465,175501084.79821476,0.9920374299695276
100,Palestine,149,0.09112558545455554,623578.8191990943,56823.98497657791,175557908.78319135,0.9923586332263714
101,Oman,150,0.14009218814241553,391197.2170281168,54803.6741286923,175612712.45732003,0.9926684164741388
102,Republic of Korea,68,0.024941669340311765,2174541.1653559864,54236.68671320522,175666949.14403325,0.992974994768848
103,Djibouti,177,0.3101428599413392,159166.34788881807,49364.30634065618,175716313.45037392,0.9932540314463177
104,United Arab Emirates,156,0.1436175141436973,333435.0210749693,47887.10885523842,175764200.55922917,0.9935247181172978
105,Australia,71,0.030001575843783178,1525583.5991790236,45769.91205680119,175809970.47128597,0.9937834371216787
106,Equatorial Guinea,172,0.23509448075376668,185033.1465929574,43500.27152050691,175853470.74280646,0.9940293267559894
107,Albania,43,0.24792578509438445,162831.80827749526,40370.203905536306,175893840.946712,0.9942575233701347
108,Eswatini,197,0.28632351678971524,140592.17198186013,40254.84511495066,175934095.79182693,0.9944850679071817
109,United Kingdom,95,0.009778711435005655,3899212.7925850805,38129.27672237206,175972225.0685493,0.9947005974563566
110,Hungary,48,0.08653732909619088,439906.88209105795,38068.36662719312,176010293.4351765,0.9949157827051281
111,Canada,101,0.019495490564271172,1925367.7684814893,37535.98916318272,176047829.42433968,0.9951279586370526
112,Paraguay,136,0.05818187703482576,636568.2083058992,37036.73321993317,176084866.1575596,0.9953373124748377
113,Chile,98,0.03141030037335537,1158613.2529984787,36392.390293232595,176121258.54785284,0.9955430240998027
114,Cuba,109,0.06309243218282745,562743.2885631975,35504.84277001484,176156763.39062285,0.9957437187736478
115,Serbia,53,0.07771345499322521,452172.2465401119,35139.86753068052,176191903.25815353,0.995942350388459
116,France,80,0.009545685774603904,3650382.9886065433,34845.40896619757,176226748.6671197,0.9961393175467919
117,Gabon,173,0.17229124028980158,202022.7012743215,34806.74176924893,176261555.40888897,0.9963360661349279
118,Bulgaria,45,0.10477521203152715,313819.69498541806,32880.525081766355,176294435.93397072,0.9965219265906377
119,Taiwan (Province of China),8,0.0294802592584017,982569.6597199717,28966.408307984304,176323402.3422787,0.9966856621099156
120,Germany,81,0.00722795681703049,3923668.0936646503,28360.103545368438,176351762.44582406,0.9968459704308993
121,Georgia,35,0.1147198601130089,246796.88457024287,28312.504074224667,176380074.94989827,0.9970060096911129
122,Comoros,176,0.3293025475621697,78106.3917445253,25720.633782361,176405795.58368063,0.9971513981453437
123,Slovakia,54,0.08909511266367381,285324.23777797323,25420.99511050538,176431216.57879114,0.9972950928620213
124,Uruguay,99,0.10680247978845277,230334.82243700448,24600.330217905026,176455816.90900904,0.9974341486883361
125,Armenia,33,0.11952658857058882,204498.2283634519,24442.97560501263,176480259.88461405,0.997572315051968
126,Solomon Islands,28,0.254078402665554,96036.76375741784,24400.86753265389,176504660.7521467,0.9977102433955103
127,Costa Rica,126,0.06678284596179047,339740.28692120296,22688.823248473196,176527349.57539517,0.9978384942375511
128,Spain,92,0.011006548056199768,2013365.0489845767,22160.199166321745,176549509.7745615,0.9979637569791111
129,Italy,86,0.009164940496464147,2359696.0071331435,21626.4734951193,176571136.24805662,0.998086002782948
130,Belarus,57,0.03719989448862967,563730.8042995774,20970.72643993462,176592106.97449654,0.9982045419109881
131,Bhutan,162,0.28081238458244245,65342.45971106856,18348.971925947335,176610455.9464225,0.9983082613094917
132,Croatia,46,0.08673430486886967,185558.25184309995,16094.265986293927,176626550.21240878,0.998399235757226
133,Czechia,47,0.025764767820984063,568275.4221056495,14641.484308923773,176641191.6967177,0.998481998211267
134,Bosnia and Herzegovina,44,0.09626764459416655,146370.55270054747,14090.748346428029,176655282.44506413,0.9985616475752125
135,Republic of Moldova,61,0.07079283628874024,173355.58440715878,12272.33350667488,176667554.7785708,0.9986310181674553
136,Lithuania,60,0.08386131696195553,143102.588284008,12000.771514161419,176679555.55008495,0.9986988537283821
137,Jamaica,115,0.06217985702841395,184916.35278026017,11498.072378092334,176691053.62246305,0.998763847732178
138,Qatar,151,0.0795011208896151,141551.98251403111,11253.54127401267,176702307.16373706,0.9988274594994577
139,Vanuatu,30,0.260448941415861,37635.63476236837,9802.16123337282,176712109.32497042,0.998882867195936
140,Guyana,113,0.1332423017302537,70959.17381307232,9454.763647730899,176721564.08861816,0.9989363111928254
141,Latvia,59,0.08972016099015949,103930.26754171535,9324.640335593049,176730888.72895375,0.9989890196546822
142,New Zealand,72,0.0313154342348066,293650.4514910082,9195.791401687933,176740084.52035543,0.9990409997850567
143,Israel,85,0.009537843999414933,946406.7055872581,9026.679517891485,176749111.19987333,0.9990920239935986
144,Mauritius,183,0.13841244424876437,64364.12444097314,8908.795785806726,176758019.99565914,0.999142381852558
145,Kuwait,145,0.029344877519562922,298820.0825376614,8768.838722453358,176766788.8343816,0.9991919485902226
146,Maldives,14,0.2101198233704057,41177.86428604369,8652.285570554037,176775441.11995217,0.9992408564995422
147,Netherlands,89,0.009273525717044312,879754.4305919058,8158.425336777715,176783599.54528895,0.9992869728145097
148,Singapore,69,0.028177020231967147,289260.82712004543,8150.5081780770715,176791750.05346704,0.999333044376946
149,Slovenia,55,0.07838582909483235,100826.5824518331,7903.375260285413,176799653.42872733,0.9993777189958541
150,North Macedonia,49,0.06186659963687282,113925.51311918006,7048.184108569615,176806701.61283588,0.9994175595612673
151,Cabo Verde,203,0.11668434294963476,53152.50360823606,6202.064959655116,176812903.67779553,0.9994526173535889
152,Belize,108,0.162310979753965,37524.37091283932,6090.617407514135,176818994.29520303,0.9994870451774786
153,Belgium,76,0.0091959988064601,618746.5590443433,5689.992618473075,176824684.2878215,0.9995192084296901
154,Estonia,58,0.07944579816376031,69698.01538496309,5537.214462688438,176830221.5022842,0.9995505080881001
155,Sweden,93,0.009187874581994928,595734.78665643,5473.536503930784,176835695.03878814,0.9995814478004812
156,Fiji,22,0.06003201528106104,88734.27752308291,5326.897504219624,176841021.93629235,0.999611558621254
157,Sao Tome and Principe,215,0.21956651812927314,23322.56631496595,5120.854679616146,176846142.79097196,0.9996405047643587
158,Portugal,91,0.010710602941474186,415144.42173058377,4446.447064524191,176850589.23803648,0.9996656387509859
159,Greece,82,0.009608459622196731,452261.5952831047,4345.537276947991,176854934.77531344,0.9996902023349491
160,Brunei Darussalam,66,0.13477819962328802,31516.753490833034,4247.771293465455,176859182.5466069,0.999714213286915
161,Austria,75,0.009550502790981692,440848.8789516017,4210.328448828422,176863392.87505573,0.9997380125894578
162,Suriname,118,0.09049755098643615,45709.62336281475,4136.608970847121,176867529.48402658,0.9997613951852803
163,Switzerland,94,0.009008474238067948,446604.51212732337,4023.225242103897,176871552.7092687,0.9997841368682389
164,Kiribati,23,0.24848844439136492,14616.39815063422,3632.0060390559206,176875184.71530774,0.9998046671455346
165,Trinidad and Tobago,119,0.0427463106631182,82803.89490649603,3539.56101578927,176878724.27632353,0.9998246748680929
166,Bahrain,140,0.04526934042871177,70739.63726778314,3202.336721278861,176881926.6130448,0.9998427763966078
167,Denmark,78,0.009883888404183219,307988.58926789806,3044.1248460857255,176884970.73789087,0.9998599836166787
168,Montenegro,50,0.08734847379074168,34607.915835626365,3022.9486293204036,176887993.6865202,0.999877071136067
169,Ireland,84,0.008909166797900053,317582.4441785265,2829.3949672712756,176890823.08148745,0.9998930645740273
170,Norway,90,0.00914019904717716,294247.5552782342,2689.481224388325,176893512.56271183,0.9999082671355662
171,Finland,79,0.010146105258325842,261391.77756205847,2652.10848880554,176896164.67120063,0.9999232584439803
172,Bahamas,106,0.08017051558161613,21777.451753263394,1745.9095351128965,176897910.58073574,0.9999331273721991
173,Samoa,27,0.07897985365920755,20989.354928811317,1657.7361806786846,176899568.31691644,0.9999424978917155
174,Micronesia (Federated States of),25,0.16239682563940977,9757.642567622861,1584.6101787059324,176901152.92709514,0.9999514550591939
175,Tonga,29,0.09898993968683155,12126.132340336979,1200.365109004495,176902353.29220414,0.9999582402429956
176,Marshall Islands,24,0.16556710525965404,6101.779802776482,1010.2540188775249,176903363.546223,0.9999639508048515
177,Barbados,107,0.06912748643594967,14600.744526222985,1009.3127691912457,176904372.85899222,0.9999696560461994
178,Cyprus,77,0.010773326855405892,74350.81684597304,801.0056518480861,176905173.86464408,0.9999741838107381
179,Saint Vincent and the Grenadines,117,0.08601837706153102,7742.735221213913,666.0175177459752,176905839.88216183,0.9999779485413515
180,Seychelles,186,0.08604082610789487,7453.6581294739435,641.3189029857646,176906481.20106483,0.9999815736605755
181,Grenada,112,0.0892272974504477,7013.154973634649,625.7648648985855,176907106.96592972,0.9999851108590437
182,Antigua and Barbuda,105,0.07826461523814032,5097.003416142303,398.9150112318641,176907505.88094094,0.9999873657660318
183,Dominica,110,0.08491732445776173,4234.6799187593,359.59768863605154,176907865.4786296,0.9999893984279226
184,Luxembourg,87,0.00958972808695531,32435.62922896955,311.04886463511787,176908176.52749422,0.9999911566627313
185,Saint Lucia,116,0.030966529247446493,9259.813070718332,286.74427228028657,176908463.2717665,0.9999927775134017
186,Saint Kitts and Nevis,393,0.07125754596402485,3580.3152273448395,255.124476878223,176908718.3962434,0.9999942196300168
187,Malta,88,0.010309275825033902,21779.22671688773,224.52805548034314,176908942.92429888,0.9999954887973008
188,Iceland,83,0.009366703317105625,21156.099994347715,198.16291199407505,176909141.08721086,0.9999966089329748
189,Tuvalu,416,0.1619605705720512,1076.612457121457,174.3687678403692,176909315.4559787,0.9999975945698699
190,Nauru,369,0.11460298782398347,1403.6311478910218,160.8603233511187,176909476.31630203,0.9999985038489319
191,Greenland,349,0.029627597881399518,4002.7659044551,118.59233863057214,176909594.90864065,0.9999991742039838
192,Palau,380,0.09442186703495742,989.2718747030858,93.40889741463782,176909688.31753805,0.9999997022071162
193,Andorra,74,0.008706964960066739,2700.417975515295,23.512444690346033,176909711.82998276,0.9999998351135608
194,San Marino,396,0.010129137938671009,1628.7352002570387,16.497683508972493,176909728.32766625,0.9999999283683664
195,Monaco,367,0.008109242055426513,1624.1578272789966,13.17068895762099,176909741.4983552,1.0000000028170026
