,location_name,vehicle,nutrient,value_description,n_data_points,mean_mean,value_means
153,Cameroon,bouillon,vitamin a,percent of population eating fortified vehicle,0,,[nan]
154,Cameroon,bouillon,zinc,percent of population eating fortified vehicle,0,,[nan]
168,Cameroon,maize flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
169,Cameroon,maize flour,iron,percent of population eating fortified vehicle,0,,[nan]
170,Cameroon,maize flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
171,Cameroon,maize flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
172,Cameroon,maize flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
173,Cameroon,maize flour,zinc,percent of population eating fortified vehicle,0,,[nan]
185,Cameroon,oil,vitamin a,percent of population eating fortified vehicle,0,,[nan]
186,Cameroon,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan]
198,Cameroon,wheat flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
199,Cameroon,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan]
200,Cameroon,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
201,Cameroon,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
202,Cameroon,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
203,Cameroon,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan]
215,China,oil,vitamin a,percent of population eating fortified vehicle,0,,[nan]
216,China,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan]
228,China,wheat flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
229,China,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan]
230,China,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
231,China,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
232,China,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
233,China,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan]
247,Côte d'Ivoire,bouillon,folic acid,percent of population eating fortified vehicle,0,,[nan]
248,Côte d'Ivoire,bouillon,iron,percent of population eating fortified vehicle,0,,[nan]
249,Côte d'Ivoire,bouillon,vitamin a,percent of population eating fortified vehicle,0,,[nan]
250,Côte d'Ivoire,bouillon,zinc,percent of population eating fortified vehicle,0,,[nan]
264,Côte d'Ivoire,maize flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
265,Côte d'Ivoire,maize flour,iron,percent of population eating fortified vehicle,0,,[nan]
266,Côte d'Ivoire,maize flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
267,Côte d'Ivoire,maize flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
268,Côte d'Ivoire,maize flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
269,Côte d'Ivoire,maize flour,zinc,percent of population eating fortified vehicle,0,,[nan]
281,Côte d'Ivoire,oil,vitamin a,percent of population eating fortified vehicle,3,81.0,"[70.0, 75.0, 98.0]"
282,Côte d'Ivoire,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan]
294,Côte d'Ivoire,wheat flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
295,Côte d'Ivoire,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan]
296,Côte d'Ivoire,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
297,Côte d'Ivoire,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
298,Côte d'Ivoire,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
299,Côte d'Ivoire,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan]
313,Democratic Republic of the Congo,bouillon,folic acid,percent of population eating fortified vehicle,0,,[nan]
314,Democratic Republic of the Congo,bouillon,iron,percent of population eating fortified vehicle,0,,[nan]
315,Democratic Republic of the Congo,bouillon,vitamin a,percent of population eating fortified vehicle,0,,[nan]
316,Democratic Republic of the Congo,bouillon,zinc,percent of population eating fortified vehicle,0,,[nan]
330,Democratic Republic of the Congo,maize flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
331,Democratic Republic of the Congo,maize flour,iron,percent of population eating fortified vehicle,0,,[nan]
332,Democratic Republic of the Congo,maize flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
333,Democratic Republic of the Congo,maize flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
334,Democratic Republic of the Congo,maize flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
335,Democratic Republic of the Congo,maize flour,zinc,percent of population eating fortified vehicle,0,,[nan]
347,Democratic Republic of the Congo,oil,vitamin a,percent of population eating fortified vehicle,0,,[nan]
348,Democratic Republic of the Congo,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan]
360,Democratic Republic of the Congo,wheat flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
361,Democratic Republic of the Congo,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan]
362,Democratic Republic of the Congo,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
363,Democratic Republic of the Congo,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
364,Democratic Republic of the Congo,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
365,Democratic Republic of the Congo,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan]
381,Egypt,maize flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
382,Egypt,maize flour,iron,percent of population eating fortified vehicle,0,,[nan]
383,Egypt,maize flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
384,Egypt,maize flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
385,Egypt,maize flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
386,Egypt,maize flour,zinc,percent of population eating fortified vehicle,0,,[nan]
398,Egypt,oil,vitamin a,percent of population eating fortified vehicle,0,,[nan]
399,Egypt,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan]
411,Egypt,wheat flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
412,Egypt,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan]
413,Egypt,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
414,Egypt,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
415,Egypt,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
416,Egypt,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan]
432,Ethiopia,maize flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
433,Ethiopia,maize flour,iron,percent of population eating fortified vehicle,0,,[nan]
434,Ethiopia,maize flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
435,Ethiopia,maize flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
436,Ethiopia,maize flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
437,Ethiopia,maize flour,zinc,percent of population eating fortified vehicle,0,,[nan]
449,Ethiopia,oil,vitamin a,percent of population eating fortified vehicle,1,1.0,[1.0]
450,Ethiopia,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan]
458,Ethiopia,salt,folic acid,percent of population eating fortified vehicle,0,,[nan]
459,Ethiopia,salt,iron,percent of population eating fortified vehicle,1,85.6,[85.6]
471,Ethiopia,wheat flour,folic acid,percent of population eating fortified vehicle,1,1.0,[1.0]
472,Ethiopia,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan]
473,Ethiopia,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
474,Ethiopia,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
475,Ethiopia,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
476,Ethiopia,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan]
490,Ghana,bouillon,folic acid,percent of population eating fortified vehicle,0,,[nan]
491,Ghana,bouillon,iron,percent of population eating fortified vehicle,0,,[nan]
492,Ghana,bouillon,vitamin a,percent of population eating fortified vehicle,0,,[nan]
493,Ghana,bouillon,zinc,percent of population eating fortified vehicle,0,,[nan]
507,Ghana,maize flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
508,Ghana,maize flour,iron,percent of population eating fortified vehicle,0,,[nan]
509,Ghana,maize flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
510,Ghana,maize flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
511,Ghana,maize flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
512,Ghana,maize flour,zinc,percent of population eating fortified vehicle,0,,[nan]
524,Ghana,oil,vitamin a,percent of population eating fortified vehicle,3,29.066666666666666,"[34.9, 19.4, 32.9]"
525,Ghana,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan]
536,Ghana,rice,folic acid,percent of population eating fortified vehicle,0,,[nan]
537,Ghana,rice,iron,percent of population eating fortified vehicle,0,,[nan]
538,Ghana,rice,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
539,Ghana,rice,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
540,Ghana,rice,zinc,percent of population eating fortified vehicle,0,,[nan]
555,Ghana,wheat flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
556,Ghana,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan]
557,Ghana,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
558,Ghana,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
559,Ghana,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
560,Ghana,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan]
572,India,oil,vitamin a,percent of population eating fortified vehicle,1,24.3,[24.3]
573,India,oil,vitamin d,percent of population eating fortified vehicle,1,24.3,[24.3]
584,India,rice,folic acid,percent of population eating fortified vehicle,0,,[nan]
585,India,rice,iron,percent of population eating fortified vehicle,0,,[nan]
586,India,rice,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
587,India,rice,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
588,India,rice,zinc,percent of population eating fortified vehicle,0,,[nan]
599,India,salt,folic acid,percent of population eating fortified vehicle,0,,[nan]
600,India,salt,iron,percent of population eating fortified vehicle,2,92.7,"[92.7, 92.7]"
612,India,wheat flour,folic acid,percent of population eating fortified vehicle,1,6.3,[6.3]
613,India,wheat flour,iron,percent of population eating fortified vehicle,1,6.3,[6.3]
614,India,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
615,India,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
616,India,wheat flour,vitamin b12,percent of population eating fortified vehicle,1,6.3,[6.3]
617,India,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan]
629,Indonesia,oil,vitamin a,percent of population eating fortified vehicle,0,,[nan]
630,Indonesia,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan]
642,Indonesia,wheat flour,folic acid,percent of population eating fortified vehicle,1,73.1,[73.1]
643,Indonesia,wheat flour,iron,percent of population eating fortified vehicle,1,73.1,[73.1]
644,Indonesia,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
645,Indonesia,wheat flour,vitamin b1,percent of population eating fortified vehicle,1,73.1,[73.1]
646,Indonesia,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
647,Indonesia,wheat flour,zinc,percent of population eating fortified vehicle,1,73.1,[73.1]
663,Kenya,maize flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
664,Kenya,maize flour,iron,percent of population eating fortified vehicle,0,,[nan]
665,Kenya,maize flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
666,Kenya,maize flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
667,Kenya,maize flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
668,Kenya,maize flour,zinc,percent of population eating fortified vehicle,0,,[nan]
680,Kenya,oil,vitamin a,percent of population eating fortified vehicle,0,,[nan]
681,Kenya,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan]
693,Kenya,wheat flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
694,Kenya,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan]
695,Kenya,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
696,Kenya,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
697,Kenya,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
698,Kenya,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan]
714,Madagascar,maize flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
715,Madagascar,maize flour,iron,percent of population eating fortified vehicle,0,,[nan]
716,Madagascar,maize flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
717,Madagascar,maize flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
718,Madagascar,maize flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
719,Madagascar,maize flour,zinc,percent of population eating fortified vehicle,0,,[nan]
731,Madagascar,oil,vitamin a,percent of population eating fortified vehicle,0,,[nan]
732,Madagascar,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan]
744,Madagascar,wheat flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
745,Madagascar,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan]
746,Madagascar,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
747,Madagascar,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
748,Madagascar,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
749,Madagascar,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan]
765,Mozambique,maize flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
766,Mozambique,maize flour,iron,percent of population eating fortified vehicle,0,,[nan]
767,Mozambique,maize flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
768,Mozambique,maize flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
769,Mozambique,maize flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
770,Mozambique,maize flour,zinc,percent of population eating fortified vehicle,0,,[nan]
782,Mozambique,oil,vitamin a,percent of population eating fortified vehicle,0,,[nan]
783,Mozambique,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan]
795,Mozambique,wheat flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
796,Mozambique,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan]
797,Mozambique,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
798,Mozambique,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
799,Mozambique,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
800,Mozambique,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan]
812,Myanmar,oil,vitamin a,percent of population eating fortified vehicle,1,0.0,[0.0]
813,Myanmar,oil,vitamin d,percent of population eating fortified vehicle,1,0.0,[0.0]
825,Myanmar,wheat flour,folic acid,percent of population eating fortified vehicle,1,0.0,[0.0]
826,Myanmar,wheat flour,iron,percent of population eating fortified vehicle,1,0.0,[0.0]
827,Myanmar,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
828,Myanmar,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
829,Myanmar,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
830,Myanmar,wheat flour,zinc,percent of population eating fortified vehicle,1,0.0,[0.0]
842,Nepal,oil,vitamin a,percent of population eating fortified vehicle,0,,[nan]
843,Nepal,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan]
855,Nepal,wheat flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
856,Nepal,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan]
857,Nepal,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
858,Nepal,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
859,Nepal,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
860,Nepal,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan]
874,Niger,bouillon,folic acid,percent of population eating fortified vehicle,0,,[nan]
875,Niger,bouillon,iron,percent of population eating fortified vehicle,0,,[nan]
876,Niger,bouillon,vitamin a,percent of population eating fortified vehicle,0,,[nan]
877,Niger,bouillon,zinc,percent of population eating fortified vehicle,0,,[nan]
891,Niger,maize flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
892,Niger,maize flour,iron,percent of population eating fortified vehicle,0,,[nan]
893,Niger,maize flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
894,Niger,maize flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
895,Niger,maize flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
896,Niger,maize flour,zinc,percent of population eating fortified vehicle,0,,[nan]
908,Niger,oil,vitamin a,percent of population eating fortified vehicle,3,61.66666666666666,"[55.0, 55.0, 75.0]"
909,Niger,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan]
921,Niger,wheat flour,folic acid,percent of population eating fortified vehicle,1,30.0,[30.0]
922,Niger,wheat flour,iron,percent of population eating fortified vehicle,1,30.0,[30.0]
923,Niger,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
924,Niger,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
925,Niger,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
926,Niger,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan]
940,Nigeria,bouillon,folic acid,percent of population eating fortified vehicle,0,,[nan]
941,Nigeria,bouillon,iron,percent of population eating fortified vehicle,0,,[nan]
942,Nigeria,bouillon,vitamin a,percent of population eating fortified vehicle,0,,[nan]
943,Nigeria,bouillon,zinc,percent of population eating fortified vehicle,0,,[nan]
957,Nigeria,maize flour,folic acid,percent of population eating fortified vehicle,2,0.95,"[0.2, 1.7]"
958,Nigeria,maize flour,iron,percent of population eating fortified vehicle,0,,[nan]
959,Nigeria,maize flour,vitamin a,percent of population eating fortified vehicle,2,0.95,"[0.2, 1.7]"
960,Nigeria,maize flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
961,Nigeria,maize flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
962,Nigeria,maize flour,zinc,percent of population eating fortified vehicle,2,0.95,"[0.2, 1.7]"
974,Nigeria,oil,vitamin a,percent of population eating fortified vehicle,2,7.4,"[7.2, 7.6]"
975,Nigeria,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan]
986,Nigeria,rice,folic acid,percent of population eating fortified vehicle,0,,[nan]
987,Nigeria,rice,iron,percent of population eating fortified vehicle,0,,[nan]
988,Nigeria,rice,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
989,Nigeria,rice,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
990,Nigeria,rice,zinc,percent of population eating fortified vehicle,0,,[nan]
1001,Nigeria,salt,folic acid,percent of population eating fortified vehicle,0,,[nan]
1002,Nigeria,salt,iron,percent of population eating fortified vehicle,0,,[nan]
1014,Nigeria,wheat flour,folic acid,percent of population eating fortified vehicle,2,14.05,"[5.4, 22.7]"
1015,Nigeria,wheat flour,iron,percent of population eating fortified vehicle,2,14.05,"[5.4, 22.7]"
1016,Nigeria,wheat flour,vitamin a,percent of population eating fortified vehicle,2,14.05,"[5.4, 22.7]"
1017,Nigeria,wheat flour,vitamin b1,percent of population eating fortified vehicle,2,14.05,"[5.4, 22.7]"
1018,Nigeria,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
1019,Nigeria,wheat flour,zinc,percent of population eating fortified vehicle,2,14.05,"[5.4, 22.7]"
1031,Pakistan,oil,vitamin a,percent of population eating fortified vehicle,3,30.0,"[39.0, 31.0, 20.0]"
1032,Pakistan,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan]
1044,Pakistan,wheat flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
1045,Pakistan,wheat flour,iron,percent of population eating fortified vehicle,3,5.333333333333333,"[5.0, 1.0, 10.0]"
1046,Pakistan,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
1047,Pakistan,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
1048,Pakistan,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
1049,Pakistan,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan]
1065,South Africa,maize flour,folic acid,percent of population eating fortified vehicle,2,46.85,"[16.3, 77.4]"
1066,South Africa,maize flour,iron,percent of population eating fortified vehicle,2,46.85,"[16.3, 77.4]"
1067,South Africa,maize flour,vitamin a,percent of population eating fortified vehicle,2,46.85,"[16.3, 77.4]"
1068,South Africa,maize flour,vitamin b1,percent of population eating fortified vehicle,2,46.85,"[16.3, 77.4]"
1069,South Africa,maize flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
1070,South Africa,maize flour,zinc,percent of population eating fortified vehicle,2,46.85,"[16.3, 77.4]"
1082,South Africa,oil,vitamin a,percent of population eating fortified vehicle,0,,[nan]
1083,South Africa,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan]
1095,South Africa,wheat flour,folic acid,percent of population eating fortified vehicle,4,8.549999999999999,"[16.3, 16.3, 0.8, 0.8]"
1096,South Africa,wheat flour,iron,percent of population eating fortified vehicle,4,8.549999999999999,"[16.3, 16.3, 0.8, 0.8]"
1097,South Africa,wheat flour,vitamin a,percent of population eating fortified vehicle,4,8.549999999999999,"[16.3, 16.3, 0.8, 0.8]"
1098,South Africa,wheat flour,vitamin b1,percent of population eating fortified vehicle,4,8.549999999999999,"[16.3, 16.3, 0.8, 0.8]"
1099,South Africa,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
1100,South Africa,wheat flour,zinc,percent of population eating fortified vehicle,4,8.549999999999999,"[16.3, 16.3, 0.8, 0.8]"
1116,Sudan,maize flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
1117,Sudan,maize flour,iron,percent of population eating fortified vehicle,0,,[nan]
1118,Sudan,maize flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
1119,Sudan,maize flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
1120,Sudan,maize flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
1121,Sudan,maize flour,zinc,percent of population eating fortified vehicle,0,,[nan]
1133,Sudan,oil,vitamin a,percent of population eating fortified vehicle,1,80.0,[80.0]
1134,Sudan,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan]
1146,Sudan,wheat flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
1147,Sudan,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan]
1148,Sudan,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
1149,Sudan,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
1150,Sudan,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
1151,Sudan,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan]
1167,Uganda,maize flour,folic acid,percent of population eating fortified vehicle,2,6.5,"[6.5, 6.5]"
1168,Uganda,maize flour,iron,percent of population eating fortified vehicle,2,6.5,"[6.5, 6.5]"
1169,Uganda,maize flour,vitamin a,percent of population eating fortified vehicle,2,6.5,"[6.5, 6.5]"
1170,Uganda,maize flour,vitamin b1,percent of population eating fortified vehicle,2,6.5,"[6.5, 6.5]"
1171,Uganda,maize flour,vitamin b12,percent of population eating fortified vehicle,2,6.5,"[6.5, 6.5]"
1172,Uganda,maize flour,zinc,percent of population eating fortified vehicle,2,6.5,"[6.5, 6.5]"
1184,Uganda,oil,vitamin a,percent of population eating fortified vehicle,2,54.4,"[54.4, 54.4]"
1185,Uganda,oil,vitamin d,percent of population eating fortified vehicle,1,0.0,[0.0]
1197,Uganda,wheat flour,folic acid,percent of population eating fortified vehicle,2,8.5,"[8.5, 8.5]"
1198,Uganda,wheat flour,iron,percent of population eating fortified vehicle,2,9.85,"[8.5, 11.2]"
1199,Uganda,wheat flour,vitamin a,percent of population eating fortified vehicle,2,9.85,"[8.5, 11.2]"
1200,Uganda,wheat flour,vitamin b1,percent of population eating fortified vehicle,2,9.85,"[8.5, 11.2]"
1201,Uganda,wheat flour,vitamin b12,percent of population eating fortified vehicle,2,9.85,"[8.5, 11.2]"
